team,player,shot,airtime,arm_raised,jumping_point,jump_length,jump_angle, comment
P14,3,p11,0.480,2,18.4,190.8,-23
P14,4,p11,0.360,2,18.4,163.9,-23
P14,1,p12,0.480,2,53.6,225.2,-17
P14,2,p12,0.600,1,61.3,186.3,-22
P14,3,p12,0.480,1,42.2,194.0,-29
P14,4,p12,0.320,2,20.1,194.0,-29
P14,1,p21,0.480,1,52.1,206.9,-12
P14,2,p21,0.560,0,36.4,163.2,-31
P14,3,p21,0.480,2,20.9,180.9,-29
P14,4,p21,0.360,2,20.9,180.5,-19
P14,1,p22,0.480,1,52.2,224.4,-17
P14,2,p22,0.560,1,26.2,166.1,-32
P14,3,p22,0.480,2,24.8,168.7,-20
P14,4,p22,0.360,2,24.8,192.0,-25
P14,1,p31,0.480,1,43.2,206.8,-12
P14,2,p31,0.600,2,57.2,206.6,-32
P14,3,p31,0.480,2,8.1,174.1,-27
P14,4,p31,0.400,2,8.1,190.1,-23
P14,1,p32,0.520,1,49.6,202.1,-11
P14,2,p32,0.560,1,43.9,158.0,-20
P14,3,p32,0.440,2,12.6,167.5,-26
P14,4,p32,0.360,2,12.6,198.5,-19
P14,1,p41,0.520,1,53.6,216.0,-13
P14,2,p41,0.600,0,29.6,197.9,-20
P14,3,p41,0.440,2,13.0,155.0,-22
P14,4,p41,0.360,2,13.0,187.4,-35
P14,1,p42,0.480,1,51.5,238.8,-13
P14,2,p42,0.520,0,33.3,211.7,-20
P14,3,p42,0.440,2,12.9,146.4,-21
P14,4,p42,0.360,2,12.9,179.0,-33
P14,1,p51,0.520,2,52.2,-,-
P14,2,p51,0.560,0,58.2,-,-
P14,3,p51,0.440,1,27.0,-,-
P14,4,p51,0.440,2,17.5,191.3,-38
